Key,Status,Labels,Fix Version/s,Issue Type,? Original Estimate,Priority,Sprint,Due Date,Created,QA Due Date
MCPU-13695,Closed - Complete,"QA_Environment_Blocker,MISC",PU9.0,Bug,,Blocker,,,11/07/2018 15:31,
MCPU-13668,Closed - Complete,"NEW_TRADE_PROCESSING, TRADESERV,MISC",PU9.0,Bug,,Major,,19-Jun-18,11/07/2018 14:14,
MCPU-13667,In QA,"Blocker_For_Conformance, PriorityForQA, RequiredForConformance, TEAM_LOIRE",PU10.0,Bug,,Major,,,11/07/2018 13:28,
MCPU-13666,Closed - Complete,TEAM_REGSERV,PU9.0,Bug,,Blocker,,,11/07/2018 12:27,
MCPU-13665,New Bug,"GUI, TEAM_LOIRE",PU9.0,Bug,,Major,CreditUI-Sprint28,,11/07/2018 11:27,
MCPU-13663,New Bug,TEAM_REGSERV,PU8.0,Bug,,Critical,,,11/07/2018 10:52,
MCPU-13662,In QA,"TEAM_BEAUJOLAIS, TECHINCAL",PU9.0,Bug,,Major,,,11/07/2018 10:46,
MCPU-13661,Bug Backlog,"Blocker_for_Regression, ENVIRONMENT_BUG, QABuild_Issue,MISC",PU9.0,Bug,,Blocker,,,11/07/2018 10:46,
MCPU-13660,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,11/07/2018 10:11,
MCPU-13658,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Minor,,,11/07/2018 09:32,
MCPU-13649,In QA,TEAM_BEAUJOLAIS,PU9.0,Bug,,Critical,,,11/07/2018 06:48,
MCPU-13639,New Bug,"QA, TEAM_LOIRE",PU8.0,Bug,,Minor,,,11/07/2018 06:02,
MCPU-13637,Closed - Complete,TEAM_BEAUJOLAIS,PU9.0,Bug,,Blocker,,,11/07/2018 04:17,
MCPU-13615,Closed - Complete,"PriorityForQA, RequiredForConformance,MISC",PU10.0,Bug,,Critical,,,10/07/2018 17:27,
MCPU-13595,New Bug,"ConformanceTesting, TEAM_BEAUJOLAIS",PU8.0,Bug,,Critical,CreditUI-Sprint28,,10/07/2018 15:37,
MCPU-13588,Closed - Complete,"ENVIRONMENT_BUG,MISC",PU9.0,Bug,,Blocker,,,10/07/2018 12:08,
MCPU-13581,Closed - Complete,"ENVIRONMENT_BUG, QA, Workflow,MISC",PU8.0,Bug,,Critical,,,10/07/2018 09:39,
MCPU-13580,New Bug,"Core-Dean, QABuild_Issue,MISC",PU9.0,Bug,,Major,,,10/07/2018 08:07,
MCPU-13579,New Bug,"ASSIGNMENT, TEAM_BEAUJOLAIS",PU8.0,Bug,,Major,,,10/07/2018 07:44,
MCPU-13578,Closed - Complete,"Blocker_for_TIW_Env, NEW_TRADE_PROCESSING,MISC",PU9.0,Bug,,Major,,,10/07/2018 06:26,
MCPU-13577,New Bug,"REGIME_CANADA, TEAM_REGSERV",PU8.0,Bug,,Major,,,10/07/2018 06:17,
MCPU-13576,New Bug,"REGIME_CANADA, TEAM_REGSERV",PU8.0,Bug,,Critical,,,10/07/2018 05:18,
MCPU-13575,Closed - Complete,"PriorityForQA, RequiredForConformance,MISC",PU9.0,Bug,,Critical,,,09/07/2018 19:51,
MCPU-13574,New Bug,"NEW_TRADE_PROCESSING, TEAM_REGSERV, TIW_INTEGRATION, TRADESERV",PU9.0,Bug,,Major,,,09/07/2018 19:25,29-Jun-18
MCPU-13571,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,09/07/2018 14:43,
MCPU-13570,In Development,TEAM_BEAUJOLAIS,PU9.0,Bug,,Critical,,,09/07/2018 14:15,
MCPU-13550,In QA,TEAM_BEAUJOLAIS,PU9.0,Bug,,Blocker,,,09/07/2018 11:45,
MCPU-13545,Closed - Complete,"QABuild_Issue, TEAM_BEAUJOLAIS",PU9.0,Bug,,Blocker,,,09/07/2018 10:03,
MCPU-13544,Closed - Complete,"TEAM_BEAUJOLAIS, Workflow",PU9.0,Bug,,Critical,,,09/07/2018 09:31,
